Pais,Pobl,Natalidad,EsperanzaVida,Mortalidad,BalanzaComercial,PIB,ProdCereales
Portugal,10585,8.5,80.6,10.3,-26838,22503,301.2315732
Reino Unido,62716,12.6,80.5,9.2,-152487,38796,0.002328018
Republica Checa,10506,34.3,49.5,15.2,6420,19616,1629.301538
Repœblica de Corea,49090,10.2,78.4,10.1,41172,22588,3548.769575
Repœblica de Moldova,4085,9.2,81.4,5.5,-2314,1627,969.7463415
Repœblica Democr‡tica del Congo,65939,10.9,71.3,11.2,800,347,58.73886967
Repœblica Democr‡tica Popular de Corea,24501,42.6,58.1,10.7,-1075,570,1727.262357
Repœblica Democr‡tica Popular Lao,6260,14.4,69.9,9.2,-314,1054,1657.156744
Repœblica Dominicana,9898,27.2,65.5,7,-10349,5089,242.4481378
Repœblica Unida de Tanzan’a,45649,21.4,73.2,6,-4186,686,515.2767528
Ruanda,10294,15.7,79.5,5.5,-1146,526,401.4964997
Rumania,20299,32.9,63.1,7.5,-12528,7685,1216.987257
Senegal,12957,34.9,66.2,7.1,-2383,998,196.0978369
Serbia,9059,38.9,65.8,6.6,-6920,5412,1838.674451
"Siria, Repœblica çrabe",20721,9.3,82.6,4.5,-2950,2808,280.3176496
Sri Lanka,20201,16.4,74.6,6.6,-5205,2388,1661.613383
Sud‡frica,51622,21,57.1,12.5,1691,7295,152.576058
Sud‡n,36115,33.7,63.1,7.9,1360,1513,31.60857837
Suecia,9383,12,81.9,9.4,9616,52053,1421.088882
Suiza,7830,10.2,82.7,8.1,18866,74223,604.3185088
Tailandia,66692,11.2,74.1,7.7,10252,5102,319.5965233
Tayikist‡n,7581,31,69.1,5.7,-1462,740,247.5815385
Togo,6391,36.3,59,9.3,-356,503,68.00415584
Tœnez,10639,18.4,74.6,6.6,-5791,4143,0.595297152
Turkmenist‡n,5042,21.5,65.4,7.8,935,4393,967.5771322
Turqu’a,72311,17.3,74.8,5.7,-71661,10135,28.88535944
Ucrania,45648,10.8,70.8,15.3,-9337,3066,71.73913359
Uganda,33149,43.7,57.3,10.2,-1594,636,226.7984855
Uruguay,3374,14.4,77,9.3,-1912,11531,218.9357101
Uzbekist‡n,27739,23.3,68.3,7,3201,1423,277.8718621
Venezuela (Repœblica Bolivariana de),28996,20,74,5.5,31930,13559,179.1666667
Viet Nam,88358,17.4,75.6,5.8,-12121,1302,4113.401586
Yemen,23592,33.2,63.5,7.1,-1249,1358,43.02897073
Zambia,13918,40.6,58.8,9.7,1888,1225,129.9555714
Zimbabue,13974,36.1,54.8,11.1,-601,721,88.22308642
